baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Amillepora00001-RA	291.610815114617	-0.368203820634955	0.191970348105083	-1.9180244463244	0.0551079114553467	0.260160732975164
Amillepora00002-RA	0.0454450556399499	-0.0597305378775249	4.18119954689839	-0.014285502810272	0.988602205534303	NA
Amillepora00003-RA	15.1055322038576	0.313581069055217	0.349941012581203	0.896096935715562	0.370200993519425	NA
Amillepora00004-RA	12.0405798445828	-0.136714712009486	0.400246320480793	-0.341576436843338	0.732669672408881	NA
Amillepora00005-RA	9.73960996783375	-0.218094037103663	0.447841581774214	-0.486989252404031	0.626265947385769	NA
Amillepora00006-RA	50.6810816256529	0.0477411194652247	0.254870074631295	0.187315515696729	0.851413258524394	NA
Amillepora00009-RA	62.7426938444663	0.238579762836232	0.238307520040677	1.00114240119451	0.316757968364663	NA
Amillepora00011-RA	38.0158988111417	0.392234226001355	0.319552208843324	1.22744958459563	0.219653659581573	NA
Amillepora00013-RA	0	NA	NA	NA	NA	NA
Amillepora00014-RA	58.9222498155295	0.220321099730133	0.276607478821113	0.796511723649449	0.425734664059527	NA
Amillepora00015-RA	119.204977283137	0.31005612720027	0.208990672088034	1.48358835398005	0.137918160873377	0.3987199505144
Amillepora00017-RA	3.1161073940231	-0.492575993111158	0.770604284385021	-0.639207441604425	0.52268799168681	NA
Amillepora00019-RA	0.0572710769929981	0	4.18119954689839	0	1	NA
Amillepora00020-RA	8.252989593206	-1.12913167823907	0.515452402975059	-2.1905643891114	0.0284833305011344	NA
Amillepora00022-RA	193.169278966536	-0.122053923885183	0.164630783717817	-0.741379717261065	0.458463238964326	0.714761914874372
Amillepora00024-RA	16.8815202919892	0.116735360250764	0.367151818284683	0.317948473729878	0.750524022216343	NA
Amillepora00025-RA	3.57730334575295	-0.179510579089767	0.794344929184968	-0.225985680142696	0.821212557846558	NA
Amillepora00027-RA	212.854360854705	-0.0933598365786354	0.15188751418215	-0.614664326303176	0.538776423480996	0.77413043654526
Amillepora00028-RA	0	NA	NA	NA	NA	NA
Amillepora00029-RA	17.7104487147444	0.331474513045082	0.452231762450856	0.732974860608344	0.463573762425429	NA
Amillepora00030-RA	2.5531133505467	0.417026956888165	0.822772292354598	0.506855858860687	0.612255959373619	NA
Amillepora00031-RA	0.249579021432721	0.517334574822422	2.93637495840629	0.176181374024251	0.860151453274464	NA
Amillepora00032-RA	25.0068598727764	-0.35198255975514	0.337908899160582	-1.04164927478832	0.297574314594375	NA
Amillepora00033-RA	25.0219779222245	0.641061880140538	0.361238973199552	1.77461992669991	0.0759606647412018	NA
Amillepora00034-RA	26.8851747858142	0.5069000454004	0.324191802047077	1.56358070191667	0.117916069804429	NA
Amillepora00035-RA	53.4777539347856	0.388006614518975	0.200453555395426	1.93564346490922	0.0529113830691813	NA
Amillepora00036-RA	0.195088665838837	0.974184998772665	3.49467328351404	0.278762825517435	0.780426844898657	NA
Amillepora00037-RA	2.16084207164477	0.31408885043331	1.16077935416893	0.270584456301073	0.786710652072365	NA
Amillepora00038-RA	37.6212925713315	0.15207431703683	0.24291742108343	0.626032980090796	0.531293309528809	NA
Amillepora00039-RA	10.844352052782	0.00936947162837753	0.412781567351247	0.0226983769854354	0.981890870481227	NA
Amillepora00043-RA	37.6709921430291	-0.141431482311791	0.233503079518679	-0.605694291498527	0.544717775408432	NA
Amillepora00044-RA	20.5004076351908	0.121791965144509	0.302307699149949	0.402874175837971	0.687040789842226	NA
Amillepora00045-RA	72.1632448455569	-0.206273981652055	0.205538174104127	-1.00357990699847	0.315581143508503	NA
Amillepora00046-RA	0.615377463889171	-0.0332197401523564	1.66097378278751	-0.0200001592418911	0.984043245534959	NA
Amillepora00047-RA	13.6592560692299	0.15127846318889	0.417597826268508	0.362258741959114	0.717158686424387	NA
Amillepora00048-RA	42.83017543065	-0.0260131338253359	0.240375901966241	-0.108218559400306	0.913822323141431	NA
Amillepora00049-RA	0.0446609942382751	1.08711435171685	4.18063794050633	0.260035517829412	0.794836376450758	NA
Amillepora00050-RA	0.0632822766861915	0	4.18119954689839	0	1	NA
Amillepora00051-RA	1.09423448080032	-0.546442116781426	1.35695524550407	-0.402697228660949	0.687170972918452	NA
Amillepora00052-RA	4.47824855873075	-0.17539804609874	0.616826238328687	-0.284355682686241	0.776137817821924	NA
Amillepora00053-RA	0.72329519749218	0	1.80149808477731	0	1	NA
Amillepora00054-RA	0.0454450556399499	-0.0597305378775249	4.18119954689839	-0.014285502810272	0.988602205534303	NA
Amillepora00055-RA	10.6502196835132	-0.458930620396159	0.412765509171897	-1.11184343216293	0.266205474089015	NA
Amillepora00056-RA	22.3245746225841	-0.383370742218739	0.296544147503608	-1.29279483492108	0.196082027286476	NA
Amillepora00057-RA	8.44993897557051	0.465197135459953	0.486734604570768	0.955751103561235	0.339197997152139	NA
Amillepora00058-RA	15.4483930736096	-0.191108954811869	0.345086926653328	-0.553799463414202	0.579716095571596	NA
Amillepora00059-RA	36.0659147263789	-0.20179386487922	0.241005207613245	-0.837300848714646	0.402423482326527	NA
Amillepora00060-RA	8.09642406527448	0.677868683883185	0.487314126429196	1.39103023515916	0.164216258445726	NA
Amillepora00063-RA	12.0303546803635	-1.00819382545829	0.410471794221437	-2.4561829573956	0.0140421646210476	NA
Amillepora00064-RA	79.8196717110379	-0.0762661001980466	0.212384646673051	-0.359094225466552	0.719524601327602	NA
Amillepora00065-RA	3.2275556541058	-0.515531094831765	0.657296954684497	-0.784319919874298	0.432852413900862	NA
Amillepora00066-RA	8.69770405485092	-0.333724308205549	0.457116428180816	-0.730064131656063	0.465350984735534	NA
Amillepora00067-RA	30.2779087257872	0.481683406603753	0.310207553315489	1.55277781425866	0.120476224704938	NA
Amillepora00069-RA	61.9213805514436	-0.178055925424467	0.301403006897454	-0.590756964428849	0.554683273926891	NA
Amillepora00070-RA	5.64913618905179	0.444615509555569	0.592031828616164	0.750999334942563	0.45265305603335	NA
Amillepora00071-RA	42.6149137470348	0.120494455938479	0.232201166631679	0.518922698306718	0.60381464845169	NA
Amillepora00072-RA	71.2972471826624	0.141531373271905	0.213060252628687	0.664278632573293	0.506511994222132	NA
Amillepora00073-RA	0.102378757041087	1.58985117308696	4.17441967350439	0.380855615255447	0.703310388626453	NA
Amillepora00074-RA	3.00638225305446	-0.343615120123023	0.774206298539581	-0.443828887431165	0.657166301353167	NA
Amillepora00075-RA	42.7280940129267	-0.0791892247420267	0.24478261101411	-0.323508375100476	0.746310265844502	NA
Amillepora00076-RA	3.02261572775553	-0.204444647524094	0.708474463986934	-0.288570242000796	0.77291027055765	NA
Amillepora00077-RA	31.8073328516727	0.172832627346318	0.272729505479244	0.633714445536851	0.526267195837909	NA
Amillepora00079-RA	24.7273904178472	0.271419938013633	0.320443190860003	0.847014215796559	0.396987197799055	NA
Amillepora00083-RA	87.4986990719102	-0.537625031005624	0.200896623511996	-2.67612775967596	0.00744782480663582	NA
Amillepora00085-RA	0.0408924278383968	-0.0597394702251522	4.18119954689839	-0.0142876391224779	0.98860050117772	NA
Amillepora00086-RA	2.53578407994082	-0.0221726166127526	0.761902379018122	-0.0291016503207759	0.97678351959104	NA
Amillepora00087-RA	89.2768426321306	-0.017677705093651	0.220258520204332	-0.0802588934005889	0.936031351017462	NA
Amillepora00088-RA	4.34337819028977	0.252173029387763	0.625930916834251	0.402876775384685	0.687038877380236	NA
Amillepora00090-RA	9.85012963111829	-0.894042889131648	0.433353490221374	-2.06307993198563	0.0391050344878706	NA
Amillepora00091-RA	13.4073491428027	-0.0486762330209187	0.378902587847365	-0.128466351463736	0.897779925184657	NA
Amillepora00092-RA	90.2521808080018	0.35242860762508	0.202678536975772	1.73885509972479	0.0820602537815387	NA
Amillepora00093-RA	1386.62084608039	0.247731775222481	0.152084394409844	1.62890989692789	0.103332094660182	0.360745496102213
Amillepora00094-RA	4.5909736084313	-0.49126360204034	0.656362140479715	-0.74846425737062	0.45418017645384	NA
Amillepora00095-RA	6.58729656251434	0.308269213730213	0.494336159782623	0.623602396122043	0.532888736622055	NA
Amillepora00096-RA	5.55793852118223	-0.254544185245256	0.554975518957948	-0.458658403028664	0.646479489669561	NA
Amillepora00097-RA	94.2160128200924	0.353412830059228	0.18446778210223	1.9158512453051	0.0553840327672502	NA
Amillepora00098-RA	51.0832109596355	-0.358748036352004	0.222385227675938	-1.61318285437005	0.106704787317065	NA
Amillepora00099-RA	29.9580046241664	-0.265430968694459	0.311733708063157	-0.851467011198811	0.394509980962998	NA
