gene,pval
Amillepora00001-RA,-2.38705754921787
Amillepora00003-RA,-0.112025415263674
Amillepora00004-RA,-0.620837816290653
Amillepora00005-RA,-0.2296419547863
Amillepora00006-RA,-0.0358187612889993
Amillepora00009-RA,-0.776699719348993
Amillepora00011-RA,0.156831313103651
Amillepora00014-RA,-0.242166753155404
Amillepora00015-RA,2.14135122302636
Amillepora00017-RA,0.18408347093314
Amillepora00019-RA,0.195484069708801
Amillepora00020-RA,-0.808731248497601
Amillepora00022-RA,0.0108110919678912
Amillepora00024-RA,1.88841308471563
Amillepora00025-RA,0.00601192255468494
Amillepora00027-RA,0.486055003687286
Amillepora00029-RA,0.330224920912679
Amillepora00030-RA,-0.560048612106785
Amillepora00031-RA,0.335779820897334
Amillepora00032-RA,0.825182787720926
Amillepora00033-RA,1.52639907826405
Amillepora00034-RA,0.448894082031644
Amillepora00035-RA,0.95913099127966
Amillepora00036-RA,0.00342900421869606
Amillepora00037-RA,0.61245210650249
Amillepora00038-RA,0.489870258292983
Amillepora00039-RA,0.163410480224103
Amillepora00043-RA,-1.21773589718142
Amillepora00044-RA,-0.435998890824092
Amillepora00045-RA,-0.966623765857359
Amillepora00046-RA,0.140640654386294
Amillepora00047-RA,0.723451088874643
Amillepora00048-RA,-0.0167168957257079
Amillepora00050-RA,0.0440548814414372
Amillepora00051-RA,0.229453389453947
Amillepora00052-RA,-0.190093226585382
Amillepora00053-RA,2.43713982722288
Amillepora00055-RA,-0.116375641084282
Amillepora00056-RA,-0.749221202868983
Amillepora00057-RA,-0.499156183151493
Amillepora00058-RA,-0.212352620878785
Amillepora00059-RA,-3.61384743425709
Amillepora00060-RA,-0.200843243433061
Amillepora00063-RA,-1.45790784156801
Amillepora00064-RA,-0.185574826108862
Amillepora00065-RA,-1.2887664828066
Amillepora00066-RA,-1.3646639532929
Amillepora00067-RA,1.20830172637159
Amillepora00069-RA,-2.50095193414607
Amillepora00070-RA,-1.61054285446044
Amillepora00071-RA,0.40034277587201
Amillepora00072-RA,0.0769613401809029
Amillepora00073-RA,0.0787142303018292
Amillepora00074-RA,-0.9791903527214
Amillepora00075-RA,0.847163537283025
Amillepora00076-RA,-0.798181757356018
Amillepora00077-RA,0.219185402887005
Amillepora00079-RA,0.677848074704244
Amillepora00083-RA,-4.4332332703882
Amillepora00086-RA,-0.823823372768702
Amillepora00087-RA,1.50317587459625
Amillepora00088-RA,0.590302589523947
Amillepora00090-RA,-0.814864482333157
Amillepora00091-RA,0.00498045565189248
Amillepora00092-RA,0.593700740831009
Amillepora00093-RA,1.60553454770228
Amillepora00094-RA,0.130964425463139
Amillepora00095-RA,0.621646491302896
Amillepora00096-RA,0.490569431315594
Amillepora00097-RA,-0.55612702924351
Amillepora00098-RA,-0.837241899162735
Amillepora00099-RA,-1.38467802264368
Amillepora00100-RA,-2.12546809066702
Amillepora00104-RA,-0.973961061052295
Amillepora00105-RA,-0.850772718539418
Amillepora00108-RA,-1.11131886174117
Amillepora00109-RA,0.772625818383981
Amillepora00110-RA,0.769775861276035
Amillepora00111-RA,0.0893062397749673
Amillepora00112-RA,-0.130066375258372
Amillepora00113-RA,-0.612518013549555
Amillepora00114-RA,1.81661071332034
Amillepora00115-RA,3.42486370945409
Amillepora00116-RA,-1.67245897310541
Amillepora00118-RA,-0.44435626199205
Amillepora00119-RA,0.16181689181663
Amillepora00120-RA,-0.00618289561507227
Amillepora00122-RA,0.597098544329229
Amillepora00123-RA,0.396686015865389
Amillepora00124-RA,0.484731021571432
Amillepora00126-RA,-1.04459158478745
Amillepora00128-RA,1.40946429150741
Amillepora00129-RA,0.0486327771602352
Amillepora00131-RA,2.29054371776505
Amillepora00132-RA,2.13103206608752
Amillepora00134-RA,-3.20598122163441
Amillepora00135-RA,0.550339958721091
Amillepora00136-RA,-0.155035511329939
Amillepora00137-RA,0.370330152370355
Amillepora00138-RA,0.0593283839575648
Amillepora00140-RA,1.40274755110549
Amillepora00141-RA,0.0982042669354097
Amillepora00143-RA,-0.0735886590831139
Amillepora00144-RA,-2.28119327373784
Amillepora00145-RA,-0.167519167743985
Amillepora00146-RA,-0.135617711560715
Amillepora00147-RA,1.67119821139599
Amillepora00148-RA,0.0687084332577263
Amillepora00150-RA,-0.11940639352504
Amillepora00151-RA,-0.706412804185419
Amillepora00152-RA,-1.16660129255707
Amillepora00153-RA,0.0313632141363188
Amillepora00154-RA,0.32885358002718
Amillepora00155-RA,-0.10671474442149
Amillepora00156-RA,0.841434074988733
Amillepora00160-RA,-0.320305661292513
Amillepora00161-RA,0.47931113503973
Amillepora00162-RA,0.120413160526654
Amillepora00163-RA,1.10717605416842
Amillepora00164-RA,0.153207908757161
Amillepora00165-RA,-0.504053597831901
Amillepora00166-RA,-1.08966435508352
Amillepora00167-RA,0.00803102045562351
Amillepora00168-RA,1.22157001610061
Amillepora00169-RA,0.271212319991038
Amillepora00170-RA,0.285091989088751
Amillepora00171-RA,0.246820118911247
Amillepora00172-RA,-1.51736868295205
Amillepora00173-RA,0.661822831453516
Amillepora00174-RA,0.325473631555319
Amillepora00175-RA,-1.38190396826037
Amillepora00176-RA,-0.350961520633156
Amillepora00177-RA,2.3211308778769
Amillepora00178-RA,-0.894940964703752
