baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Amillepora00001-RA	291.610815114617	-0.276679685150507	0.190520657845137	-1.45222931875137	0.146437853077122	0.815186908781058
Amillepora00002-RA	0.0454450556399499	-0.389599609496812	4.18119954689838	-0.0931789083794906	0.925761430154884	NA
Amillepora00003-RA	15.1055322038576	-0.0164621023943417	0.349118668502648	-0.0471533145590491	0.962391035687205	0.999074618814727
Amillepora00004-RA	12.0405798445828	0.104856435493749	0.381441103760001	0.274895480482154	0.783396539489529	0.993018422990097
Amillepora00005-RA	9.73960996783375	-0.354348183817099	0.439355153635105	-0.806518783005772	0.419943782217724	0.95806468109221
Amillepora00006-RA	50.6810816256529	0.189582247906156	0.248977052297621	0.761444663902333	0.44639151870954	0.969816905737292
Amillepora00009-RA	62.7426938444663	0.145451217669338	0.235199877865631	0.618415362241106	0.536301573832473	0.989588876198527
Amillepora00011-RA	38.0158988111417	0.557910318330122	0.313639916984003	1.77882434001083	0.0752685653963703	0.673495279548685
Amillepora00013-RA	0	NA	NA	NA	NA	NA
Amillepora00014-RA	58.9222498155295	0.0967137312926087	0.273664427206788	0.353402640890295	0.723786606254164	0.991257460436636
Amillepora00015-RA	119.204977283137	0.334162442290975	0.205889429136824	1.62301893638701	0.104585356903518	0.750696655571787
Amillepora00017-RA	3.1161073940231	-0.177783649651055	0.720339322561453	-0.246805420838161	0.805058815028787	NA
Amillepora00019-RA	0.0572710769929981	0.187439733310564	4.18119954689838	0.0448291767011233	0.964243468820043	NA
Amillepora00020-RA	8.252989593206	-0.325495749079844	0.456272887907077	-0.713379553566929	0.475610921804286	NA
Amillepora00022-RA	193.169278966536	-0.113287347280973	0.162967324973653	-0.695153751215392	0.486958952414098	0.975950521454074
Amillepora00024-RA	16.8815202919892	-0.0363739237896725	0.362805049033794	-0.100257490590448	0.92013990498837	0.996339485257366
Amillepora00025-RA	3.57730334575295	-0.236716255001279	0.784981438657132	-0.301556499738681	0.762990173183478	NA
Amillepora00027-RA	212.854360854705	-0.0232308135103033	0.149686844768012	-0.155196093192471	0.876666728154084	0.996339485257366
Amillepora00028-RA	0	NA	NA	NA	NA	NA
Amillepora00029-RA	17.7104487147444	1.32124407630602	0.422176121750672	3.1296039928244	0.00175042102410811	0.106335100308064
Amillepora00030-RA	2.5531133505467	-0.26844002832636	0.854922606946193	-0.313993367522746	0.753526076165284	NA
Amillepora00031-RA	0.249579021432721	0.187464026133351	2.93758357307173	0.0638157252279725	0.949116956860044	NA
Amillepora00032-RA	25.0068598727764	0.544817260774	0.312735137779172	1.74210440388283	0.0814901771437649	0.692041710774247
Amillepora00033-RA	25.0219779222245	0.108234393285335	0.365052702607441	0.2964897739758	0.766856075286821	0.99242052911672
Amillepora00034-RA	26.8851747858142	0.363557610286653	0.320530458275427	1.13423732721916	0.256695010360372	0.89712201886462
Amillepora00035-RA	53.4777539347856	-0.0456307364845685	0.201576591435246	-0.226369223527757	0.820914262746453	0.995390048591871
Amillepora00036-RA	0.195088665838837	0.252787359751513	3.51192595384637	0.0719796952081671	0.942618066806156	NA
Amillepora00037-RA	2.16084207164477	-0.794011232823021	1.22703013512556	-0.647100026391588	0.517567208227102	NA
Amillepora00038-RA	37.6212925713315	-0.0764127829013484	0.240933162479091	-0.317153446686608	0.75112717193061	0.991998041627461
Amillepora00039-RA	10.844352052782	0.305004460035639	0.391007824027306	0.780046948662436	0.435363241222463	0.964822961918146
Amillepora00043-RA	37.6709921430291	-0.138951190506327	0.227402930797837	-0.611035178917091	0.541176291241086	0.989588876198527
Amillepora00044-RA	20.5004076351908	-0.0699360075841562	0.298564902695375	-0.234240551896054	0.81479823472879	0.995316427055554
Amillepora00045-RA	72.1632448455569	-0.202322128877402	0.201883401028098	-1.00217317445154	0.316259961420967	0.927132919578491
Amillepora00046-RA	0.615377463889171	0.661081985693857	1.62026576176683	0.408008365845474	0.683267533013126	NA
Amillepora00047-RA	13.6592560692299	0.544727739049355	0.398461720638784	1.36707671235292	0.171601261775099	0.843630566672749
Amillepora00048-RA	42.83017543065	-0.149776847064965	0.236474300357888	-0.633374733906764	0.526488960420808	0.988448945898569
Amillepora00049-RA	0.0446609942382751	0.187448133598174	4.18119954689838	0.0448311857627611	0.964241867430781	NA
Amillepora00050-RA	0.0632822766861915	0.764514806817497	4.18119954689838	0.18284580734364	0.854919005373726	NA
Amillepora00051-RA	1.09423448080032	0.436663235967505	1.22711205937036	0.355846259217401	0.721955703705318	NA
Amillepora00052-RA	4.47824855873075	-0.474641924238781	0.614103113913254	-0.772902650198623	0.439579996188052	NA
Amillepora00053-RA	0.72329519749218	3.3106309445176	1.63858508832461	2.02042052506567	0.0433397861900327	NA
Amillepora00054-RA	0.0454450556399499	-0.389599609496812	4.18119954689838	-0.0931789083794906	0.925761430154884	NA
Amillepora00055-RA	10.6502196835132	-0.00755801636150451	0.382204944825935	-0.0197747738845886	0.98422304147222	0.999544714010755
Amillepora00056-RA	22.3245746225841	-0.165038896870329	0.282414278993607	-0.584385808884914	0.558960772229405	0.989588876198527
Amillepora00057-RA	8.44993897557051	0.161825091571437	0.485618182262805	0.333235240116815	0.738956719043179	NA
Amillepora00058-RA	15.4483930736096	-0.35892701798925	0.339201124218026	-1.05815397521662	0.289985250227388	0.916985936448504
Amillepora00059-RA	36.0659147263789	0.091537210944232	0.229842274467092	0.398260986393685	0.690437815290672	0.989588876198527
Amillepora00060-RA	8.09642406527448	0.651458639726031	0.476389603784288	1.3674913023942	0.171471361628164	NA
Amillepora00063-RA	12.0303546803635	-0.0630459958307474	0.360385456221866	-0.174940455399327	0.861126421594947	0.995390048591871
Amillepora00064-RA	79.8196717110379	-0.034132729339861	0.208834076993261	-0.163444251203133	0.870168663870736	0.996339485257366
Amillepora00065-RA	3.2275556541058	-0.897165541078644	0.66181761520671	-1.35560843420347	0.175223786876159	NA
Amillepora00066-RA	8.69770405485092	-0.427799466868661	0.446955169864102	-0.957141780010587	0.338495698106368	NA
Amillepora00067-RA	30.2779087257872	0.841703962552077	0.299762452729703	2.80790324100746	0.00498652068813082	0.189487786148971
Amillepora00069-RA	61.9213805514436	0.515006557034826	0.293035264898269	1.75749003183496	0.078834319439749	0.679232004184122
Amillepora00070-RA	5.64913618905179	1.1465895683741	0.552986698207109	2.07344873229604	0.0381305376612267	NA
Amillepora00071-RA	42.6149137470348	0.13782151469626	0.226676596226249	0.608009459250475	0.543181200191359	0.989588876198527
Amillepora00072-RA	71.2972471826624	-0.0673993869506871	0.211738995915162	-0.318313528688368	0.750247123196933	0.991998041627461
Amillepora00073-RA	0.102378757041087	0.187440184418268	4.18119954689661	0.0448292845906842	0.964243382823083	NA
Amillepora00074-RA	3.00638225305446	-1.43749227502646	0.839328421152451	-1.71266960441146	0.0867733400806091	NA
Amillepora00075-RA	42.7280940129267	0.157726843372208	0.235951301738723	0.668472020327585	0.503832336307285	0.980112720722528
Amillepora00076-RA	3.02261572775553	-0.793570681236383	0.727946803134028	-1.09014927714474	0.275647392602586	NA
Amillepora00077-RA	31.8073328516727	0.179623253264298	0.266635103107746	0.673666937213862	0.500523086457437	0.980112720722528
Amillepora00079-RA	24.7273904178472	-0.0906948742936831	0.320922261252054	-0.28260699005374	0.777478121398175	0.993018422990097
Amillepora00083-RA	87.4986990719102	-0.631136644465624	0.198176648680762	-3.18471751675601	0.00144895371861415	0.0965608709494358
Amillepora00085-RA	0.0408924278383968	-0.38960854184444	4.18119954689838	-0.0931810446916966	0.925759733008119	NA
Amillepora00086-RA	2.53578407994082	-1.79529867096582	0.912552133393088	-1.96733819939741	0.0491442339537839	NA
Amillepora00087-RA	89.2768426321306	0.328745886491383	0.214913975934371	1.52966267113207	0.126100248000529	0.784089547446615
Amillepora00088-RA	4.34337819028977	-0.472443958720466	0.649148311616501	-0.727790476022332	0.466741855481239	NA
Amillepora00090-RA	9.85012963111829	-0.40666232584992	0.396202439645299	-1.02640035789276	0.304702909411863	0.924642417871623
Amillepora00091-RA	13.4073491428027	0.154682787532234	0.362443070767709	0.426778161890619	0.669540913996164	0.989588876198527
Amillepora00092-RA	90.2521808080018	0.0719085186757591	0.20204505321632	0.35590338655196	0.72191291954627	0.991257460436636
Amillepora00093-RA	1386.62084608039	0.232216812414619	0.151816952790372	1.52958420088475	0.126119682586436	0.784089547446615
Amillepora00094-RA	4.5909736084313	-0.381877507009633	0.628700801859161	-0.607407380236139	0.543580591861911	NA
Amillepora00095-RA	6.58729656251434	-0.0468305881047016	0.494610698183356	-0.0946817128636818	0.924567643735106	NA
Amillepora00096-RA	5.55793852118223	-0.174062741116921	0.530794844644046	-0.327928469677674	0.742965747241781	NA
Amillepora00097-RA	94.2160128200924	0.00520509478868895	0.184539643147894	0.0282058353419351	0.977497983147402	0.999434049634338
Amillepora00098-RA	51.0832109596355	-0.171526771768156	0.214458704555324	-0.799812589205988	0.423819387954232	0.958473193431774
Amillepora00099-RA	29.9580046241664	-0.103618499621633	0.30267741250938	-0.342339716606442	0.732095249678765	0.991998041627461
Amillepora00100-RA	72.8973758309126	0.158076547431108	0.223402855312297	0.707585170342298	0.479202904740901	0.975474875871963
Amillepora00104-RA	10.3234843421155	-0.270891815900013	0.457990649582053	-0.591478922434814	0.5541995736775	0.989588876198527
Amillepora00105-RA	1.96144154601766	0.471174565398892	0.843263057535885	0.558751579579117	0.576331272261436	NA
Amillepora00108-RA	2.36730552840754	-0.372677333873417	0.869681423031001	-0.428521667824716	0.668271361707504	NA
Amillepora00109-RA	37.8584320171194	0.0780167646023004	0.235743185331395	0.330939638796467	0.740690079943268	0.991998041627461
Amillepora00110-RA	6.95055817658226	-0.00540603060298394	0.502636264835816	-0.0107553532866352	0.99141863511225	NA
Amillepora00111-RA	0.0577177628028117	0.187439207871596	4.18119954689838	0.044829051034084	0.964243568987132	NA
Amillepora00112-RA	0.0867987608836956	-0.93025350350513	4.17823585896147	-0.222642649890127	0.823813639657799	NA
Amillepora00113-RA	1.2181656387596	0.618224885460584	1.16388748926806	0.531172378052944	0.595299332204037	NA
Amillepora00114-RA	18.101498039543	0.0237074572459137	0.333136416802394	0.0711644120852033	0.943266904619726	0.998146274284579
Amillepora00115-RA	31.2094971131978	0.56208175679382	0.268596780261679	2.09266006929128	0.036379510175944	0.516110445310223
Amillepora00116-RA	16.1669535940408	-0.39773968799424	0.367160891937842	-1.08328445846998	0.27868218146085	0.90884861021621
Amillepora00118-RA	14.9077587200459	-0.654253459431224	0.397518319865795	-1.64584479943491	0.0997957161864949	0.738951696140464
Amillepora00119-RA	12.1408817684887	-0.0952513460914325	0.490446544143765	-0.194213512621901	0.846008702772041	0.995390048591871
Amillepora00120-RA	97.2864408023552	-0.197188478445349	0.185513629511858	-1.0629325670799	0.287812532778069	0.914975406802477
Amillepora00122-RA	211.616256378494	0.0487843444837568	0.160853277444238	0.303284740347729	0.761672874325109	0.991998041627461
Amillepora00123-RA	24.3362542473219	0.129323174584874	0.291712365926974	0.443324279976695	0.657531196248876	0.989588876198527
Amillepora00124-RA	9.25590020753581	0.559200294346496	0.464270644186368	1.20447049872492	0.22840777791794	0.885425990932557
Amillepora00126-RA	1.788030509361	0.684422698337421	0.976808402918699	0.700672410569329	0.483507477598919	NA
Amillepora00128-RA	342.385450520001	0.300355209615908	0.185297066821034	1.62093882417471	0.105030759380825	0.750696655571787
Amillepora00129-RA	395.963402172577	0.0454560101266022	0.204162255449162	0.222646492744694	0.82381064856498	0.995390048591871
Amillepora00131-RA	2.10082454348242	1.0669374587075	1.11233264537337	0.959189198613664	0.337463440904886	NA
Amillepora00132-RA	2.45865335056687	-0.549856122823172	1.07618756721967	-0.510929636776725	0.609400327831295	NA
Amillepora00134-RA	2.91391871430708	-0.779263383159016	0.787362444380553	-0.98971368106348	0.322314086026773	NA
