baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Amillepora00001-RA	291.610815114617	-0.348517321751062	0.206768958376232	-1.68553986288845	0.0918844606198673	1
Amillepora00002-RA	0.0454450556399499	-0.332970164688847	4.51620110414726	-0.0737279312878866	0.941226873313151	NA
Amillepora00003-RA	15.1055322038576	-0.0519245703207713	0.390132394048816	-0.133094741971809	0.894118453451193	1
Amillepora00004-RA	12.0405798445828	-0.268071182640385	0.434905671233286	-0.616389254893368	0.537637643373843	1
Amillepora00005-RA	9.73960996783375	-0.121908978840547	0.469016975287627	-0.259924448930202	0.7949220517511	1
Amillepora00006-RA	50.6810816256529	-0.0120418460309804	0.273016360941942	-0.0441066827989155	0.964819365867323	1
Amillepora00009-RA	62.7426938444663	-0.194332900065251	0.262997568582621	-0.738915196488597	0.459958493992589	1
Amillepora00011-RA	38.0158988111417	0.0631081843740996	0.344844182488006	0.183004926801381	0.854794152875287	1
Amillepora00013-RA	0	NA	NA	NA	NA	NA
Amillepora00014-RA	58.9222498155295	-0.0819934483970608	0.30034218811455	-0.273000103354739	0.784853136125247	1
Amillepora00015-RA	119.204977283137	0.352419044237816	0.225145571283608	1.56529414382256	0.117513955641233	1
Amillepora00017-RA	3.1161073940231	0.162426924646147	0.764982599511875	0.21232760686294	0.831851459246892	1
Amillepora00019-RA	0.0572710769929981	1.01349139988211	4.51620110414726	0.22441237148439	0.82243644511189	1
Amillepora00020-RA	8.252989593206	-0.397227221950212	0.520885146256519	-0.762600402036788	0.445701744749398	1
Amillepora00022-RA	193.169278966536	0.00237222873352661	0.176524533703067	0.0134385214551363	0.989277933935114	1
Amillepora00024-RA	16.8815202919892	0.547075761188905	0.381346308915679	1.43459041925556	0.15140384633376	1
Amillepora00025-RA	3.57730334575295	0.00621146931359137	0.836647423662184	0.00742423766322312	0.994076369810563	1
Amillepora00027-RA	212.854360854705	0.0815161249470951	0.162191163730728	0.50259288528461	0.615250532451601	1
Amillepora00028-RA	0	NA	NA	NA	NA	NA
Amillepora00029-RA	17.7104487147444	0.166364914551202	0.461973262688631	0.360118058744304	0.718758848607237	1
Amillepora00030-RA	2.5531133505467	-0.537684514905763	0.94971065344312	-0.566156137089144	0.571287644563142	1
Amillepora00031-RA	0.249579021432721	1.15233407133738	3.15192712160954	0.365596673678463	0.714666057551428	1
Amillepora00032-RA	25.0068598727764	0.267762766999887	0.345390794477487	0.775245812225431	0.438194422306607	1
Amillepora00033-RA	25.0219779222245	0.475196806060469	0.385121966505361	1.23388652787702	0.217245190318765	1
Amillepora00034-RA	26.8851747858142	0.163894461276246	0.348704920661874	0.470009029310971	0.638348566581704	1
Amillepora00035-RA	53.4777539347856	0.188695779501417	0.2165392701482	0.87141597629046	0.383527065630118	1
Amillepora00036-RA	0.195088665838837	0.0162868524223923	3.79465223432374	0.00429205403200667	0.996575446868098	1
Amillepora00037-RA	2.16084207164477	0.739109474086993	1.2115682871069	0.610043595521892	0.541832928996328	1
Amillepora00038-RA	37.6212925713315	0.132202977080389	0.261276331834875	0.505989104148708	0.612864298670333	1
Amillepora00039-RA	10.844352052782	0.0835507130286198	0.439755622875108	0.189993507035494	0.849314218498076	1
Amillepora00043-RA	37.6709921430291	-0.26479838563751	0.25344554243883	-1.04479401408853	0.296118182052216	1
Amillepora00044-RA	20.5004076351908	-0.150995861099209	0.329524404685719	-0.458223606361478	0.646791801783758	1
Amillepora00045-RA	72.1632448455569	-0.193464073135879	0.22062118901791	-0.876906130354388	0.380537626178776	1
Amillepora00046-RA	0.615377463889171	0.287836817459641	1.74371444507944	0.165071074723205	0.868888039686561	1
Amillepora00047-RA	13.6592560692299	0.307732641676779	0.440819371113247	0.698092374887315	0.485119426378474	1
Amillepora00048-RA	42.83017543065	-0.00528989842074213	0.255461713287705	-0.0207072063858922	0.983479220388874	1
Amillepora00049-RA	0.0446609942382751	0	4.51619749483677	0	1	NA
Amillepora00050-RA	0.0632822766861915	0	4.51620110414726	0	1	1
Amillepora00051-RA	1.09423448080032	0.354168067845739	1.36308867649064	0.259827606196221	0.794996755422218	1
Amillepora00052-RA	4.47824855873075	-0.144386669284474	0.660267021683465	-0.218679207870076	0.826899946707537	1
Amillepora00053-RA	0.72329519749218	3.05808207701286	1.78943174170627	1.70896827508877	0.0874568261915667	1
Amillepora00054-RA	0.0454450556399499	-0.332970164688847	4.51620110414726	-0.0737279312878866	0.941226873313151	NA
Amillepora00055-RA	10.6502196835132	-0.0587136946843639	0.425077775531512	-0.138124592872326	0.890141949761543	1
Amillepora00056-RA	22.3245746225841	-0.224088508229379	0.312217240946519	-0.717732651630741	0.47292214657652	1
Amillepora00057-RA	8.44993897557051	-0.284449557789201	0.553145546370889	-0.514239985579627	0.607084214995239	1
Amillepora00058-RA	15.4483930736096	-0.0880063514079925	0.36358244136554	-0.242053359555701	0.808738817329496	1
Amillepora00059-RA	36.0659147263789	-0.587400705624899	0.265647009772269	-2.2112076703911	0.0270214594692417	1
Amillepora00060-RA	8.09642406527448	-0.12614532956252	0.548113593346682	-0.230144501237964	0.817979485859157	1
Amillepora00063-RA	12.0303546803635	-0.494589891004486	0.414649803999764	-1.19278940019653	0.232951862418756	1
Amillepora00064-RA	79.8196717110379	-0.0486248422738598	0.227365970098626	-0.213861565355481	0.830655013185876	1
Amillepora00065-RA	3.2275556541058	-0.791983106071179	0.726789209766713	-1.08970124408615	0.275844767930359	1
Amillepora00066-RA	8.69770405485092	-0.565223398329032	0.497194033432117	-1.13682659147639	0.255610784675586	1
